Sequence Name	Annotation GO ID
TU7815	
TU7818	
TU7816	GO:0005198
TU7817	GO:0005198
TU7819	GO:0005198
TU7820	
TU7814	GO:0005198
TU7821	GO:0042302
TU7822	GO:0042302
TU7823	
TU7824	
TU7826	GO:0042302
TU7825	GO:0042302
TU7827	GO:0042302
TU7828	
TU7834	GO:0042302
TU7830	GO:0042302
TU7836	GO:0042302
TU7835	GO:0042302
TU7831	GO:0042302
TU7832	GO:0042302
TU7833	GO:0042302
TU7837	GO:0042302
TU7829	GO:0000139,GO:0015016,GO:0016021,GO:0016787,GO:0030210
TU7838	GO:0000139,GO:0015016,GO:0016021,GO:0016787,GO:0030210
TU7839	GO:0004378,GO:0006486,GO:0016021,GO:0097502,GO:0102704
TU7840	GO:0005730
TU7843	
TU7844	
TU7841	
TU7842	
TU7845	GO:0003676,GO:0004523
TU7846	GO:0003677
TU7847	GO:0005886,GO:0019901,GO:0045737,GO:0060828,GO:0061575
TU7848	GO:0000139,GO:0003924,GO:0005525,GO:0005802,GO:0005829,GO:0006895,GO:0031901,GO:0032456,GO:0042742,GO:0045335,GO:0055037,GO:0090382
TU7850	
TU7849	
TU7853	GO:0005789,GO:0006486,GO:0016021,GO:0052918,GO:0052926,GO:0097502
TU7852	GO:0005789,GO:0006486,GO:0016021,GO:0052918,GO:0052926,GO:0097502
TU7851	GO:0003690,GO:0006355
TU7854	GO:0005739,GO:0043461
TU7855	GO:0000776,GO:0004672,GO:0005524,GO:0006468,GO:0007094
TU7857	GO:0007094
TU7856	GO:0007094
TU7859	
TU7858	GO:0008478,GO:0009443,GO:0016310
TU7861	
TU7860	
TU7862	
TU7864	GO:0006511,GO:0031461,GO:0031625
TU7865	GO:0006511,GO:0031461,GO:0031625
TU7863	GO:0006511,GO:0031461,GO:0031625
TU7866	
TU7868	GO:0006457,GO:0051082
TU7867	
TU7869	
TU7870	
TU7872	
TU7874	GO:0003756,GO:0005788,GO:0016021
TU7873	
TU7876	
TU7878	
TU7875	
TU7877	
TU7871	
TU7882	
TU7881	
TU7883	GO:0003824
TU7880	
TU7879	
TU7884	
TU7885	
TU7886	
TU7889	GO:0003746,GO:0005515,GO:0005739,GO:0006414
TU7890	GO:0003746,GO:0005515,GO:0005739,GO:0006414
TU7888	GO:0005524,GO:0005737,GO:0005874,GO:0007018,GO:0008569,GO:0030286
TU7887	GO:0005524,GO:0005737,GO:0005874,GO:0007018,GO:0008569,GO:0030286
TU7891	GO:0005524,GO:0005737,GO:0005874,GO:0007018,GO:0008569,GO:0030286,GO:0045505,GO:0051959,GO:0097729
TU7892	GO:0005524,GO:0005737,GO:0005874,GO:0007018,GO:0008569,GO:0030286
TU7893	
TU7895	
TU7894	
TU7897	GO:0016021
TU7896	
TU7898	
TU7899	GO:0016021
TU7900	GO:0003676,GO:0004535,GO:0005634,GO:0006402,GO:0006417,GO:0030014,GO:0090503
TU7929	
TU7909	GO:0005515
TU7911	GO:0005515
TU7928	GO:0005515
TU7904	GO:0005515
TU7905	GO:0005515
TU7906	GO:0005515
TU7907	GO:0005515
TU7908	GO:0005515
TU7910	GO:0005515
TU7912	GO:0005515
TU7913	GO:0005515
TU7914	GO:0005515
TU7915	GO:0005515
TU7916	GO:0005515
TU7918	GO:0005515
TU7919	GO:0005515
TU7921	GO:0005515
TU7923	GO:0005515
TU7926	GO:0005515
TU7927	GO:0005515
TU7917	GO:0005515
TU7920	GO:0005515
TU7924	GO:0005515
TU7925	GO:0005515
TU7922	GO:0005515
TU7901	
TU7902	
TU7903	
TU7930	
TU7931	
TU7932	
TU7941	
TU7938	
TU7939	
TU7940	
TU7936	
TU7937	
TU7942	
TU7934	GO:0016020,GO:0016263,GO:0016266
TU7933	GO:0016020,GO:0016263,GO:0016266
TU7935	GO:0016020,GO:0016263,GO:0016266
TU7943	
TU7944	
TU7945	
TU7946	GO:0005515
TU7947	GO:0005515
TU7949	GO:0003676
TU7948	GO:0003676
TU7950	
TU7951	
TU7952	GO:0005524,GO:0043229,GO:0140658
TU7953	GO:0005524,GO:0043229,GO:0140658
TU7954	GO:0005524,GO:0043229,GO:0140658
TU7956	
TU7955	
TU7957	GO:0006633
TU7958	GO:0006633
TU7959	GO:0005886,GO:0006820,GO:0016021,GO:0022857,GO:0055085
TU7960	GO:0005886,GO:0006820,GO:0016021,GO:0022857,GO:0055085
TU7961	GO:0005886,GO:0006820,GO:0016021,GO:0022857,GO:0055085
TU7962	
TU7965	
TU7963	GO:0003677,GO:0003689,GO:0005524,GO:0005634,GO:0005663,GO:0006261,GO:0006281,GO:0016887
TU7966	GO:0005185,GO:0005576,GO:0016020
TU7967	GO:0005185,GO:0005576,GO:0016020
TU7964	GO:0003924,GO:0005525
TU7970	GO:0005185,GO:0005576,GO:0007165,GO:0016021
TU7971	GO:0005185,GO:0005576,GO:0007165,GO:0016021
TU7969	GO:0005185,GO:0005576,GO:0007165,GO:0016021
TU7968	
TU7972	GO:0005185,GO:0005576,GO:0007165,GO:0016021
TU7976	GO:0004181,GO:0006508,GO:0008270
TU7977	GO:0004181,GO:0006508,GO:0008270
TU7979	GO:0004181,GO:0006508,GO:0008270
TU7980	
TU7973	
TU7974	
TU7975	
TU7978	
TU7981	
TU7982	GO:0004984,GO:0005549,GO:0007608,GO:0016020,GO:0050896
TU7984	GO:0004497,GO:0005506,GO:0016021,GO:0016705,GO:0020037
TU7986	GO:0004497,GO:0005506,GO:0016020,GO:0016705,GO:0020037
TU7983	GO:0016614,GO:0044237,GO:0071704
TU7985	GO:0004497,GO:0005506,GO:0016020,GO:0016705,GO:0020037
TU7987	GO:0005634,GO:0008270
TU7988	
TU7989	GO:0005488
TU7991	GO:0004363,GO:0005524,GO:0006750
TU7990	
TU7993	GO:0004363,GO:0005524,GO:0006750
TU7992	GO:0004363,GO:0005524,GO:0006750
TU7994	
TU7995	
TU7996	
TU7999	GO:0016021
TU7998	GO:0016021
TU7997	GO:0016021
TU8000	GO:0016020,GO:0071816
TU8005	GO:0000118,GO:0006325,GO:0019222,GO:0032041,GO:0046872,GO:0070932
TU8002	GO:0000118,GO:0006325,GO:0019222,GO:0032041,GO:0046872,GO:0070932
TU8003	GO:0000118,GO:0006325,GO:0019222,GO:0032041,GO:0046872,GO:0070932
TU8004	GO:0000118,GO:0006325,GO:0019222,GO:0032041,GO:0046872,GO:0070932
TU8001	
TU8007	
TU8006	
TU8009	
TU8008	
TU8010	
TU8016	
TU8013	GO:0003723
TU8014	GO:0003723
TU8015	GO:0003723
TU8017	GO:0003723
TU8011	
TU8012	
TU8018	
TU8020	GO:0005829,GO:0032456,GO:0042147,GO:1990745
TU8019	GO:0005829,GO:0032456,GO:0042147,GO:1990745
TU8023	GO:0005634,GO:0008168,GO:0030488,GO:0031515
TU8024	GO:0005634,GO:0008168,GO:0030488,GO:0031515
TU8021	GO:0005829,GO:0032456,GO:0042147,GO:1990745
TU8026	GO:0000723,GO:0003678,GO:0006281
TU8025	
TU8022	
TU8029	GO:0005886,GO:0016021
TU8028	GO:0005886,GO:0016021
TU8030	GO:0005886,GO:0016021
TU8027	GO:0005886,GO:0016021
TU8031	
TU8032	GO:0005887,GO:0005911,GO:0048856,GO:0050839,GO:0098609
TU8033	
TU8034	
TU8035	
TU8036	GO:0005576,GO:0008061
TU8037	
TU8038	
TU8039	
TU8040	
TU8044	
TU8042	GO:0007155,GO:0016021,GO:0042246
TU8041	GO:0007155,GO:0016021,GO:0042246
TU8043	GO:0007155,GO:0016021,GO:0042246
TU8045	
TU8046	GO:0006508,GO:0008235,GO:0016021
TU8047	GO:0006508,GO:0008235,GO:0016021
TU8049	GO:0006508,GO:0008235,GO:0016021
TU8048	GO:0006508,GO:0008235,GO:0016021
TU8051	
TU8052	
TU8050	
TU8053	
TU8054	
TU8056	
TU8055	GO:0003676
TU8057	
TU8058	
TU8059	
TU8060	
TU8061	GO:0003682,GO:0005515,GO:0005634,GO:0018024
TU8063	
TU8064	
TU8062	GO:0003682,GO:0005515,GO:0005634,GO:0018024
TU8065	GO:0016192
TU8066	GO:0016192
TU8067	GO:0016192
TU8068	GO:0004984,GO:0005549,GO:0016021,GO:0050911
TU8069	GO:0004984,GO:0005549,GO:0016021,GO:0050911
TU8071	
TU8072	GO:0003676,GO:0016740
TU8070	
TU8073	
TU8074	
TU8077	
TU8075	
TU8076	
TU8078	
TU8079	
TU8080	
TU8081	GO:0061657,GO:0071569
TU8083	GO:0000124,GO:0005669,GO:0006367,GO:0016251,GO:0046695,GO:0046982
TU8084	GO:0000124,GO:0005669,GO:0006367,GO:0016251,GO:0046695,GO:0046982
TU8085	GO:0000124,GO:0005669,GO:0006367,GO:0016251,GO:0046695,GO:0046982
TU8082	GO:0046983
TU8086	GO:0003700,GO:0005634,GO:0006357,GO:0034605,GO:0043565
TU8087	
TU8088	
TU8089	
TU8090	
TU8091	
TU8092	
TU8093	
TU8094	
TU8095	GO:0000398,GO:0003729,GO:0016607
TU8096	
TU8097	
TU8098	
TU8099	
TU8100	
TU8101	
TU8105	GO:0004518,GO:0005488,GO:0006974,GO:0090304
TU8106	
TU8104	
TU8103	
TU8102	
TU8107	GO:0003676,GO:0015074
TU8122	
TU8123	
TU8124	
TU8108	GO:0004674,GO:0005524,GO:0006468
TU8109	GO:0004674,GO:0005524,GO:0006468
TU8110	GO:0004674,GO:0005524,GO:0006468
TU8111	GO:0004674,GO:0005524,GO:0006468
TU8112	GO:0004674,GO:0005524,GO:0006468
TU8113	
TU8114	
TU8115	
TU8116	GO:0004674,GO:0005524,GO:0006468
TU8117	GO:0004674,GO:0005524,GO:0006468
TU8118	GO:0004674,GO:0005524,GO:0006468
TU8119	
TU8120	
TU8121	GO:0004674,GO:0005524,GO:0006468
TU8130	GO:0005548,GO:0015914
TU8125	GO:0005548,GO:0015914
TU8126	GO:0005548,GO:0015914
TU8127	GO:0005548,GO:0015914
TU8128	GO:0005548,GO:0015914
TU8129	GO:0005548,GO:0015914
TU8131	GO:0003677
TU8132	GO:0003677
TU8133	GO:0003677
TU8134	GO:0003677
TU8135	GO:0003677
TU8138	
TU8139	
TU8137	
TU8136	
TU8140	
TU8141	
TU8142	GO:0004089,GO:0008270
TU8143	
TU8144	GO:0005515
TU8145	GO:0046872
TU8147	GO:0006629
TU8146	
TU8149	
TU8148	GO:0003746,GO:0006414
TU8150	GO:0006629
TU8151	
TU8152	GO:0006508,GO:0008234
TU8153	
TU8154	
TU8155	GO:0009190,GO:0035556
TU8156	GO:0046872
TU8157	GO:0046872
TU8161	GO:0046872
TU8158	GO:0046872
TU8159	GO:0046872
TU8160	GO:0046872
TU8164	
TU8162	GO:0016020,GO:0022857,GO:0055085
TU8165	
TU8163	GO:0016020,GO:0022857,GO:0055085
TU8166	
TU8167	GO:0016021
TU8168	GO:0009058,GO:0016844
TU8169	GO:0009058,GO:0016844
TU8170	GO:0009058,GO:0016844
TU8172	
TU8171	
TU8173	GO:0000398,GO:0003676,GO:0003724,GO:0005524,GO:0005634,GO:0016887,GO:0022414
TU8177	GO:0003677,GO:0003700,GO:0006355
TU8174	GO:0003677,GO:0003700,GO:0006355
TU8176	GO:0003677,GO:0003700,GO:0006355
TU8175	GO:0003700
TU8178	GO:0003700
TU8192	
TU8179	
TU8185	GO:0000827,GO:0000829,GO:0000832,GO:0005524,GO:0005829,GO:0016310,GO:0033857,GO:0052723,GO:0052724,GO:0102092
TU8191	GO:0000829
TU8189	
TU8184	GO:0000827,GO:0000829,GO:0000832,GO:0005524,GO:0005829,GO:0016310,GO:0033857,GO:0052723,GO:0052724,GO:0102092
TU8188	GO:0000829
TU8186	GO:0000829
TU8187	GO:0000827,GO:0000829,GO:0000832,GO:0005524,GO:0005829,GO:0016310,GO:0033857,GO:0052723,GO:0052724,GO:0102092
TU8190	GO:0000827,GO:0000829,GO:0000832,GO:0005524,GO:0005829,GO:0016310,GO:0033857,GO:0052723,GO:0052724,GO:0102092
TU8180	
TU8182	GO:0000398,GO:0003676,GO:0003724,GO:0005524,GO:0005634,GO:0016887,GO:0022414
TU8183	GO:0000398,GO:0003676,GO:0003724,GO:0005524,GO:0005634,GO:0016887,GO:0022414
TU8181	GO:0004386,GO:0022414
TU8193	GO:0000813,GO:0043328
TU8194	
TU8196	GO:0016021
TU8195	GO:0016021
TU8197	GO:0016021
TU8198	GO:0044260,GO:0097159,GO:1901363
TU8200	
TU8201	GO:0003676,GO:0016020,GO:0034645
TU8199	GO:0003676,GO:0016021,GO:0034645,GO:0042575
TU8203	
TU8202	
TU8204	
TU8205	
TU8206	
TU8207	
TU8208	GO:0016874
TU8210	GO:0004467,GO:0005783,GO:0016020
TU8209	GO:0004467,GO:0005783,GO:0016020
TU8211	GO:0051015
TU8217	GO:0016020
TU8212	GO:0031417
TU8213	GO:0031417
TU8214	
TU8219	GO:0005739,GO:0008535,GO:0045277
TU8218	GO:0005739,GO:0008535,GO:0045277
TU8215	GO:0004596,GO:0017196
TU8216	GO:0004596,GO:0017196
TU8225	GO:0003723,GO:0005730,GO:0006364
TU8226	GO:0003723,GO:0005634,GO:0006364
TU8221	GO:0016301,GO:0016310
TU8223	GO:0016301,GO:0016310
TU8224	GO:0016301,GO:0016310
TU8222	
TU8220	GO:0005739,GO:0006744,GO:0016301,GO:0016310
TU8228	
TU8227	
TU8229	
TU8230	
TU8232	
TU8233	
TU8231	
TU8234	GO:0016614,GO:0050660
TU8237	
TU8236	
TU8235	
TU8238	
TU8239	
TU8240	
TU8251	
TU8246	
TU8248	
TU8244	
TU8245	
TU8247	
TU8249	
TU8250	
TU8241	
TU8252	
TU8253	
TU8254	
TU8255	
TU8256	
TU8243	
TU8242	
TU8257	GO:0004843,GO:0016579
TU8258	
TU8259	
TU8261	GO:0022857,GO:0055085
TU8262	
TU8263	GO:0016021,GO:0022857,GO:0055085
TU8265	GO:0016021,GO:0022857,GO:0055085
TU8264	GO:0016021,GO:0022857,GO:0055085
TU8260	GO:0022857,GO:0055085
TU8266	
TU8267	GO:0005615,GO:0008081
TU8268	GO:0005615,GO:0008081
TU8269	GO:0005887,GO:0022841,GO:0030322,GO:0071805
TU8271	GO:0005267,GO:0016021,GO:0030425,GO:0043204,GO:0055037,GO:0071805,GO:0097060
TU8272	
TU8273	
TU8270	GO:0005267,GO:0016021,GO:0071805
TU8274	GO:0005267,GO:0016021,GO:0071805
TU8277	
TU8275	GO:0005887,GO:0015173,GO:0015349,GO:0015801,GO:0055085,GO:0070327
TU8279	
TU8278	
TU8280	
TU8276	
TU8281	
TU8283	
TU8282	
TU8284	
TU8286	
TU8287	GO:0003676
TU8285	GO:0005789,GO:0016021,GO:0044232
TU8288	GO:0003677,GO:0005634
TU8289	
TU8290	
TU8291	GO:0004888,GO:0016021,GO:0022848,GO:0034220,GO:0045211,GO:0060079
TU8294	
TU8292	
TU8293	
TU8295	GO:0003677,GO:0005515,GO:0005634
TU8296	GO:0003677,GO:0005515
TU8297	GO:0003677,GO:0005515
TU8298	
TU8299	
TU8300	
TU8303	GO:0005524,GO:0015986,GO:0033180,GO:0046933,GO:0046961
TU8301	GO:0005524,GO:0015986,GO:0033180,GO:0046933,GO:0046961
TU8302	GO:0005524,GO:0015986,GO:0033180,GO:0046933,GO:0046961
TU8304	GO:0007034
TU8305	GO:0046983
TU8306	GO:0046983
TU8307	GO:0003677,GO:0003678,GO:0005524,GO:0005634,GO:0006281,GO:0016818,GO:0032508
TU8308	GO:0003677,GO:0003678,GO:0005524,GO:0005634,GO:0006281,GO:0016818,GO:0032508
TU8309	GO:0001522,GO:0003723,GO:0009982
TU8310	
TU8311	
TU8312	GO:0005488
TU8314	
TU8313	
TU8315	
TU8316	GO:0000981,GO:0003677,GO:0005634,GO:0006357,GO:0048856
TU8317	
TU8318	GO:0016021
TU8319	
TU8320	GO:0003676
TU8321	
TU8322	
TU8323	GO:0000276,GO:0008289,GO:0015078,GO:0015986,GO:0016021
TU8324	
TU8325	
TU8326	
TU8327	
TU8328	GO:0003746,GO:0006368,GO:0006414,GO:0008023
TU8330	
TU8329	
TU8331	
TU8332	GO:0003676,GO:0008270
TU8333	
TU8335	GO:0016740
TU8337	GO:0016740
TU8334	
TU8336	
TU8339	GO:0000981,GO:0005634,GO:0008270
TU8338	GO:0000981,GO:0005634,GO:0008270
TU8340	
TU8343	
TU8341	
TU8344	
TU8342	
TU8345	GO:0000502,GO:0005524,GO:0005634,GO:0005737,GO:0016887,GO:0036402,GO:1901800
TU8346	GO:0005515
TU8347	GO:0005515
TU8348	GO:0016021
TU8349	GO:0004784,GO:0019430,GO:0046872
TU8350	GO:0004784,GO:0019430,GO:0046872
TU8351	GO:0004784,GO:0019430,GO:0046872
TU8352	GO:0004784,GO:0019430,GO:0046872
TU8354	
TU8353	GO:0046872
TU8355	GO:0005739,GO:0016020,GO:0097193
TU8356	GO:0016020
TU8361	GO:0016021
TU8357	
TU8358	GO:0003677,GO:0006310,GO:0015074
TU8359	GO:0003677,GO:0006310,GO:0015074
TU8365	
TU8366	
TU8362	
TU8360	GO:0003677,GO:0006310,GO:0015074
TU8363	GO:0003677,GO:0006310,GO:0015074
TU8364	
TU8367	GO:0005515
TU8368	
TU8375	
TU8370	GO:0005488
TU8371	GO:0005488
TU8372	
TU8374	
TU8377	
TU8369	
TU8373	
TU8376	
TU8378	
TU8379	
TU8380	
TU8381	
TU8382	
TU8383	
TU8384	
TU8385	
TU8390	
TU8387	GO:0005515,GO:0016491
TU8388	GO:0005515,GO:0016491
TU8389	
TU8391	
TU8392	
TU8393	
TU8394	GO:0016491
TU8395	GO:0016491
TU8386	GO:0005515,GO:0016491
TU8396	
TU8398	
TU8399	
TU8397	
TU8401	GO:0005524,GO:0005737,GO:0005874,GO:0007018,GO:0008569,GO:0030286
TU8400	GO:0005524,GO:0005737,GO:0005874,GO:0007018,GO:0008569,GO:0030286
TU8404	GO:0005516,GO:0008017,GO:0030507,GO:0031175
TU8405	GO:0005516,GO:0008017,GO:0030507,GO:0031175
TU8406	GO:0005516,GO:0008017,GO:0030507,GO:0031175
TU8407	GO:0005516,GO:0008017,GO:0030507,GO:0031175
TU8408	GO:0005516,GO:0008017,GO:0030507,GO:0031175
TU8402	
TU8403	
TU8410	GO:0005516,GO:0005737,GO:0005874,GO:0008017,GO:0030507,GO:0031175
TU8412	GO:0005516,GO:0008017
TU8411	GO:0005516,GO:0008017
TU8409	GO:0005516,GO:0008017
TU8415	GO:0005576,GO:0007165,GO:0008083,GO:0010033
TU8414	
TU8413	
TU8416	GO:0000398,GO:0005681
TU8417	
TU8418	GO:0016491
TU8419	GO:0016491
TU8420	
TU8421	
TU8422	GO:0003714,GO:0045892
TU8423	GO:0005515,GO:0016567,GO:0019005,GO:0080008
TU8424	GO:0032259,GO:0106370
TU8425	
TU8432	GO:0003824
TU8431	GO:0004865,GO:0032515
TU8430	GO:0016021,GO:0022857,GO:0055085
TU8426	GO:0016021,GO:0022857,GO:0055085
TU8427	GO:0016021,GO:0022857,GO:0055085
TU8428	GO:0016021,GO:0022857,GO:0055085
TU8429	GO:0016021,GO:0022857,GO:0055085
TU8433	GO:0003723,GO:0005654,GO:0005681,GO:0043484,GO:0045292
TU8434	GO:0003924,GO:0005525,GO:0005739,GO:0006915,GO:0007005
TU8435	GO:0003924,GO:0005525,GO:0005739,GO:0006915,GO:0007005
TU8436	GO:0005509
TU8437	GO:0005840
TU8438	GO:0016616,GO:0051287
TU8439	GO:0004617,GO:0051287
TU8440	GO:0005743,GO:0042773
TU8441	GO:0005524,GO:0006457,GO:0016887
TU8442	GO:0005488
TU8443	
TU8444	GO:0016021
TU8446	GO:0008483,GO:0009058,GO:0030170
TU8445	GO:0008483,GO:0009058,GO:0030170
TU8447	GO:0016787
TU8448	GO:0000172,GO:0001682,GO:0005655
TU8449	GO:0000172,GO:0001682,GO:0005655
TU8450	
TU8451	
TU8452	
TU8460	GO:0016021
TU8453	
TU8454	GO:0006508,GO:0070573
TU8455	
TU8456	
TU8457	
TU8458	
TU8459	GO:0003824
TU8461	GO:0004725,GO:0006655,GO:0008138,GO:0008962,GO:0035335
TU8462	GO:0005634,GO:0006397,GO:0008380
TU8470	GO:0004476,GO:0005975,GO:0008270,GO:0009298
TU8471	GO:0005634
TU8463	GO:0005634,GO:0010494
TU8464	GO:0004672,GO:0005524,GO:0006468
TU8465	GO:0004672,GO:0005524,GO:0006468
TU8466	GO:0004672,GO:0005524,GO:0006468
TU8467	GO:0004672,GO:0005524,GO:0006468
TU8468	GO:0004672,GO:0005524,GO:0006468
TU8469	
TU8472	
TU8473	GO:0016020,GO:0016491,GO:0046872
TU8474	GO:0016020,GO:0016491,GO:0046872
TU8475	GO:0016020,GO:0016491,GO:0046872
TU8476	GO:0016020,GO:0016491,GO:0046872
TU8478	GO:0004313,GO:0004315,GO:0004316,GO:0004317,GO:0004320,GO:0006633,GO:0008659,GO:0008693,GO:0016295,GO:0016296,GO:0031177,GO:0047117,GO:0047451
TU8477	
TU8479	GO:0005524,GO:0016887
TU8480	GO:0005524,GO:0016887
TU8481	GO:0005524,GO:0016887
TU8482	GO:0005337,GO:0008504,GO:0015844,GO:0016021,GO:0065008,GO:1901642
TU8483	GO:0005337,GO:0008504,GO:0015844,GO:0016021,GO:0065008,GO:1901642
TU8484	GO:0046872
TU8485	GO:0046872
TU8489	GO:0005085,GO:0005096,GO:0006897,GO:0007165,GO:0030424,GO:0043197,GO:0043547
TU8486	
TU8487	
TU8488	GO:0005085,GO:0005096,GO:0006897,GO:0007165,GO:0030424,GO:0043197,GO:0043547
TU8491	GO:0005085,GO:0005096,GO:0006897,GO:0007165,GO:0030424,GO:0043197,GO:0043547
TU8490	GO:0005085,GO:0005096,GO:0006897,GO:0007165,GO:0030424,GO:0043197,GO:0043547
TU8493	GO:0034356,GO:0050262
TU8494	GO:0034356,GO:0050262
TU8492	GO:0005737,GO:0008180
TU8495	
TU8496	GO:0004601,GO:0005509,GO:0006979,GO:0016021,GO:0020037,GO:0050665,GO:0098869,GO:0106293,GO:0106294
TU8503	GO:0004672,GO:0005524,GO:0006468
TU8500	GO:0004672,GO:0005524,GO:0006468
TU8508	
TU8499	GO:0004672,GO:0005524,GO:0006468
TU8501	GO:0004672,GO:0005524,GO:0006468
TU8505	GO:0004672,GO:0005524,GO:0006468
TU8510	
TU8509	
TU8502	GO:0004672,GO:0005524,GO:0006468
TU8504	GO:0004672,GO:0005524,GO:0006468
TU8506	GO:0004672,GO:0005524,GO:0006468
TU8507	GO:0004672,GO:0005524,GO:0006468
TU8512	
TU8511	
TU8497	GO:0004672,GO:0005524,GO:0006468
TU8513	
TU8498	GO:0004672,GO:0005524,GO:0006468
TU8514	GO:0005634
TU8515	GO:0005634
TU8516	GO:0005634
TU8517	GO:0016301,GO:0016310,GO:0032958
TU8518	GO:0016301,GO:0016310,GO:0032958
TU8520	GO:0016301,GO:0016310,GO:0032958
TU8519	GO:0016301,GO:0016310,GO:0032958
TU8521	
TU8522	
TU8523	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0048856
TU8524	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0048856
TU8525	GO:0005515,GO:0005929,GO:0035721
TU8526	
TU8527	
TU8528	
TU8529	GO:0006807,GO:0016787,GO:0043170,GO:0044237,GO:0044238
TU8530	GO:0016021
TU8531	GO:0005515
TU8538	
TU8532	GO:0005515
TU8534	
TU8535	
TU8536	
TU8537	
TU8533	GO:0003676,GO:0004523
TU8539	GO:0003824,GO:0043170,GO:0044237
TU8540	
TU8541	
TU8542	
TU8543	
TU8546	GO:0005515
TU8549	GO:0005925,GO:0007185,GO:0007409,GO:0019903,GO:0030424,GO:0035591
TU8544	GO:0005925,GO:0007185,GO:0007409,GO:0019903,GO:0030424,GO:0035591
TU8550	GO:0005925,GO:0007185,GO:0007409,GO:0019903,GO:0030424,GO:0035591
TU8545	GO:0005925,GO:0007185,GO:0007409,GO:0019903,GO:0030424,GO:0035591
TU8548	GO:0005515
TU8551	GO:0005925,GO:0007185,GO:0007409,GO:0019903,GO:0030424,GO:0035591
TU8547	GO:0005925,GO:0007185,GO:0007409,GO:0019903,GO:0030424,GO:0035591
TU8552	GO:0005515,GO:0022008
TU8554	
TU8553	GO:0022008
TU8555	
TU8556	
TU8557	
TU8558	GO:0003723
TU8559	GO:0003723
TU8560	GO:0003723
TU8561	GO:0003723
TU8562	GO:0003677,GO:0005634,GO:0006275,GO:0030337,GO:0050790
TU8563	GO:0005750,GO:0006122
TU8565	
TU8566	GO:0005515
TU8564	GO:0005739,GO:0006635,GO:0016747
TU8567	
TU8568	GO:0005737,GO:0005868,GO:0005874,GO:0007018,GO:0045505
TU8576	
TU8571	GO:0007032,GO:2000641
TU8573	GO:0007032,GO:2000641
TU8574	GO:0007032,GO:2000641
TU8569	GO:0007032,GO:2000641
TU8570	GO:0007032,GO:2000641
TU8572	GO:0007032,GO:2000641
TU8577	GO:0004712,GO:0004714,GO:0005515,GO:0005524,GO:0016021,GO:0018108
TU8575	
TU8578	GO:0005747,GO:0022900,GO:0032981
TU8579	GO:0003677,GO:0006397,GO:0008380,GO:0016607,GO:0030057,GO:0071013
TU8580	
TU8581	
TU8582	
TU8583	
TU8584	GO:0003676,GO:0004523
TU8585	
TU8586	
TU8587	
TU8591	GO:0005515,GO:0016021,GO:0050896
TU8590	GO:0005515,GO:0016021
TU8595	GO:0005515,GO:0016021
TU8596	GO:0002224,GO:0004888,GO:0005515,GO:0016021
TU8592	GO:0005515,GO:0016021
TU8593	GO:0005515,GO:0016021
TU8594	GO:0005515,GO:0016021
TU8588	
TU8589	GO:0005515,GO:0016021
TU8597	GO:0005201,GO:0005581
TU8598	GO:0005201,GO:0005581
TU8599	GO:0000276,GO:0015078,GO:0015986
TU8605	
TU8600	GO:0005751,GO:0016021
TU8603	
TU8606	
TU8607	
TU8604	
TU8601	GO:0003924,GO:0005200,GO:0005525,GO:0005874,GO:0007010,GO:0007017
TU8602	GO:0003924,GO:0005200,GO:0005525,GO:0005874,GO:0007010,GO:0007017
TU8608	
TU8609	
TU8610	
TU8611	GO:0004712,GO:0004715,GO:0005524,GO:0009653,GO:0016043,GO:0018108,GO:0048468
TU8612	GO:0002009,GO:0004712,GO:0004715,GO:0005524,GO:0016043,GO:0018108,GO:0048468,GO:0065008
TU8613	
TU8614	
TU8615	
TU8616	
TU8619	GO:0003743,GO:0005737,GO:0006413
TU8617	GO:0000737,GO:0003677,GO:0006302,GO:0008821
TU8618	GO:0000737,GO:0006302,GO:0008821
TU8620	GO:0003676,GO:0003724,GO:0005524,GO:0016887
TU8621	GO:0035091
TU8622	GO:0035091
TU8623	
TU8625	
TU8626	
TU8627	GO:0043565
TU8624	GO:0046872
TU8628	GO:0046983
TU8629	GO:0016020
TU8630	GO:0016020
TU8631	
TU8632	GO:0003677,GO:0006310,GO:0015074
TU8633	GO:0016020
TU8634	
TU8635	
TU8636	
TU8638	
TU8637	
TU8639	
TU8640	GO:0008168
TU8645	GO:0008168
TU8641	GO:0008168
TU8643	GO:0008168
TU8644	GO:0008168
TU8646	GO:0008168
TU8649	
TU8648	
TU8650	
TU8642	
TU8651	
TU8647	
TU8652	GO:0016021
TU8653	GO:0016021
TU8656	GO:0016021,GO:0022857,GO:0055085
TU8654	GO:0016021,GO:0022857,GO:0055085
TU8655	GO:0016021,GO:0022857,GO:0055085
TU8657	
TU8658	
TU8659	
TU8663	GO:0008194
TU8662	GO:0008194
TU8660	GO:0015020,GO:0016021
TU8664	GO:0008194
TU8661	
TU8666	GO:0008194
TU8665	GO:0006623,GO:0032510
TU8668	GO:0000398,GO:0071011
TU8667	GO:0006470,GO:0007096,GO:0008138
TU8669	
TU8671	
TU8670	
TU8672	
TU8673	GO:0016831,GO:0019752,GO:0030170
TU8674	
TU8676	
TU8675	
TU8678	
TU8677	
